id,name,image_path,price,added_date,business_id,description,gender,masterCategory,subCategory,articleType,baseColour,season,usage
15970,Turtle Check Men Navy Blue Shirt,images\15970.jpg,129.65,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual
39386,Peter England Men Party Blue Jeans,images\39386.jpg,22.86,1970-01-01 00:00:00,,,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual
59263,Titan Women Silver Watch,images\59263.jpg,172.66,1970-01-01 00:00:00,,,Women,Accessories,Watches,Watches,Silver,Winter,Casual
21379,Manchester United Men Solid Black Track Pants,images\21379.jpg,188.49,1970-01-01 00:00:00,,,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual
53759,Puma Men Grey T-shirt,images\53759.jpg,111.7,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual
1855,Inkfruit Mens Chain Reaction T-shirt,images\1855.jpg,14.76,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual
30805,Fabindia Men Striped Green Shirt,images\30805.jpg,30.36,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Shirts,Green,Summer,Ethnic
26960,Jealous 21 Women Purple Shirt,images\26960.jpg,37.61,1970-01-01 00:00:00,,,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual
29114,Puma Men Pack of 3 Socks,images\29114.jpg,131.96,1970-01-01 00:00:00,,,Men,Accessories,Socks,Socks,Navy Blue,Summer,Casual
30039,Skagen Men Black Watch,images\30039.jpg,161.02,1970-01-01 00:00:00,,,Men,Accessories,Watches,Watches,Black,Winter,Casual
9204,Puma Men Future Cat Remix SF Black Casual Shoes,images\9204.jpg,25.96,1970-01-01 00:00:00,,,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual
48123,Fossil Women Black Huarache Weave Belt,images\48123.jpg,35.35,1970-01-01 00:00:00,,,Women,Accessories,Belts,Belts,Black,Summer,Casual
18653,Fila Men Cush Flex Black Slippers,images\18653.jpg,197.0,1970-01-01 00:00:00,,,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,Casual
47957,Murcia Women Blue Handbag,images\47957.jpg,124.58,1970-01-01 00:00:00,,,Women,Accessories,Bags,Handbags,Blue,Summer,Casual
46885,Ben 10 Boys Navy Blue Slippers,images\46885.jpg,105.26,1970-01-01 00:00:00,,,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,Casual
12369,Reid & Taylor Men Check Purple Shirts,images\12369.jpg,194.28,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal
29928,Police Men Black Dial Watch PL12889JVSB,images\29928.jpg,27.64,1970-01-01 00:00:00,,,Men,Accessories,Watches,Watches,Black,Winter,Casual
42419,Gini and Jony Girls Knit White Top,images\42419.jpg,35.41,1970-01-01 00:00:00,,,Girls,Apparel,Topwear,Tops,White,Summer,Casual
51832,Bwitch Beige Full-Coverage Bra BW335,images\51832.jpg,63.04,1970-01-01 00:00:00,,,Women,Apparel,Innerwear,Bra,Beige,Summer,Casual
47359,Baggit Women Brown Handbag,images\47359.jpg,89.45,1970-01-01 00:00:00,,,Women,Accessories,Bags,Handbags,Brown,Summer,Casual
17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,images\17429.jpg,136.57,1970-01-01 00:00:00,,,Men,Accessories,Watches,Watches,Black,Winter,Casual
12967,ADIDAS Men Spry M Black Sandals,images\12967.jpg,127.65,1970-01-01 00:00:00,,,Men,Footwear,Sandal,Sandals,Black,Fall,Casual
6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,images\6842.jpg,92.37,1970-01-01 00:00:00,,,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,Casual
13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,images\13089.jpg,111.52,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,Sports
18461,David Beckham Signature Men Deos,images\18461.jpg,76.22,1970-01-01 00:00:00,,,Men,Personal Care,Fragrance,Deodorant,White,Spring,Casual
9036,Buckaroo Men Flores Black Formal Shoes,images\9036.jpg,178.2,1970-01-01 00:00:00,,,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Formal
48311,Pitaraa Women Bronze Beaded Bracelet,images\48311.jpg,45.47,1970-01-01 00:00:00,,,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,Casual
7990,Fila Men's Round Neck Navy Blue T-shirt,images\7990.jpg,110.94,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Sports
56019,Colorbar Soft Touch Show Stopper Copper Lipstick 037,images\56019.jpg,157.13,1970-01-01 00:00:00,,,Women,Personal Care,Lips,Lipstick,Brown,Spring,Casual
21977,Murcia Women Casual Brown Handbag,images\21977.jpg,181.0,1970-01-01 00:00:00,,,Women,Accessories,Bags,Handbags,Brown,Winter,Casual
37812,John Players Men Navy Blue Shirt,images\37812.jpg,135.69,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Formal
4729,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,images\4729.jpg,70.74,1970-01-01 00:00:00,,,Boys,Apparel,Topwear,Tshirts,Green,Summer,Casual
56825,John Players Men Brown Shirt,images\56825.jpg,55.94,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Shirts,Brown,Summer,Casual
39988,Gas Men Europa White Shoes,images\39988.jpg,182.37,1970-01-01 00:00:00,,,Men,Footwear,Shoes,Casual Shoes,White,Winter,Casual
59051,Carlton London Women Black & Gold Toned Flats,images\59051.jpg,32.16,1970-01-01 00:00:00,,,Women,Footwear,Shoes,Flats,Black,Winter,Casual
20099,Diva Women Embroided Green Kurta,images\20099.jpg,186.24,1970-01-01 00:00:00,,,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic
58183,Rocky S Women White Handbag,images\58183.jpg,170.29,1970-01-01 00:00:00,,,Women,Accessories,Bags,Handbags,White,Summer,Casual
29742,Kiara Women Teal Handbag,images\29742.jpg,184.93,1970-01-01 00:00:00,,,Women,Accessories,Bags,Handbags,Teal,Summer,Casual
51658,Fossil Women Copper Chronograph Watch CH2589,images\51658.jpg,97.3,1970-01-01 00:00:00,,,Women,Accessories,Watches,Watches,Copper,Winter,Casual
3954,Jealous 21 Women's Pink T-shirt,images\3954.jpg,163.36,1970-01-01 00:00:00,,,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual
18839,Peter England Men Formal Black Belt,images\18839.jpg,11.5,1970-01-01 00:00:00,,,Men,Accessories,Belts,Belts,Black,Fall,Formal
2886,Catwalk Women Leather Brown Flats,images\2886.jpg,19.22,1970-01-01 00:00:00,,,Women,Footwear,Shoes,Flats,Brown,Winter,Casual
23278,Maxima Ssteele Men Off White Watch,images\23278.jpg,117.08,1970-01-01 00:00:00,,,Men,Accessories,Watches,Watches,Off White,Winter,Casual
28690,W Women Printed Beige Kurta,images\28690.jpg,199.47,1970-01-01 00:00:00,,,Women,Apparel,Topwear,Kurtas,Beige,Summer,Ethnic
8580,Scullers Men  Grey Waistcoat,images\8580.jpg,92.88,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Waistcoat,Grey,Fall,Casual
3168,Nike Men's Incinerate MSL White Blue Shoe,images\3168.jpg,85.98,1970-01-01 00:00:00,,,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports
18005,Puma Men Long Logo Black Bermuda,images\18005.jpg,189.73,1970-01-01 00:00:00,,,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports
17871,Levis Men Boxer Maroon Brief,images\17871.jpg,34.91,1970-01-01 00:00:00,,,Men,Apparel,Innerwear,Briefs,Maroon,Winter,Casual
9452,John Miller Men Stripes White Red Shirts,images\9452.jpg,61.1,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Shirts,Red,Fall,Formal
38402,Baggit Women Hood Dabang Black Belt,images\38402.jpg,51.92,1970-01-01 00:00:00,,,Women,Accessories,Belts,Belts,Black,Summer,Casual
44984,Maxima Women White Dial Watch,images\44984.jpg,152.33,1970-01-01 00:00:00,,,Women,Accessories,Watches,Watches,White,Winter,Casual
10268,Clarks Men Hang Work Leather Black Formal Shoes,images\10268.jpg,152.47,1970-01-01 00:00:00,,,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal
45856,Vishudh Women Brown Kurta,images\45856.jpg,26.22,1970-01-01 00:00:00,,,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic
32138,Playboy Men Blue Titanium Briefs,images\32138.jpg,41.64,1970-01-01 00:00:00,,,Men,Apparel,Innerwear,Briefs,Blue,Summer,Casual
59435,Arrow Men Black Formal Shoes,images\59435.jpg,73.57,1970-01-01 00:00:00,,,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal
5891,Puma Men's Stripe Polo Black T-shirt,images\5891.jpg,94.14,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual
38630,Nike Women Purple Polo T-shirt,images\38630.jpg,39.09,1970-01-01 00:00:00,,,Women,Apparel,Topwear,Tshirts,Purple,Summer,Casual
4943,Gini and Jony Boy's Kaleb White Brown Kidswear,images\4943.jpg,22.06,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Shirts,White,Summer,Casual
11188,Carrera Men Dial steel finish strap Silver Watches,images\11188.jpg,142.23,1970-01-01 00:00:00,,,Men,Accessories,Watches,Watches,Silver,Winter,Casual
10866,Wrangler Men Motor Rider Red T-Shirts,images\10866.jpg,97.21,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual
59607,FNF Pink & Grey Wedding Collection Sari,images\59607.jpg,83.97,1970-01-01 00:00:00,,,Women,Apparel,Saree,Sarees,Grey,Fall,Ethnic
15528,Puma Men Scribble Black Tshirts,images\15528.jpg,158.54,1970-01-01 00:00:00,,,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual
45258,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,images\45258.jpg,25.76,1970-01-01 00:00:00,,,Men,Accessories,Watches,Watches,Black,Winter,Casual
