id,product_id,user_id,rating,comment,date
1,39386,user-123,5,Absolutely love this dress! The fabric is so comfortable.,2023-10-27
2,39386,user-456,4,"Great quality, but the color was a bit different from the picture.",2023-10-26
3,59263,user-789,5,Perfect fit and looks amazing.,2023-10-25
4,15970,user-b64bc0,4,"Arrived with a small defect, but customer service was great.",2025-10-02
5,15970,user-c99f23,3,The material feels a bit cheap.,2025-08-14
6,39386,user-c4e2d5,2,Good value for the price.,2025-02-25
7,39386,user-92e01d,3,Good value for the price.,2025-07-23
8,39386,user-df2787,4,"Arrived with a small defect, but customer service was great.",2025-12-09
9,59263,user-2ba4c2,3,Good value for the price.,2026-01-04
10,21379,user-68f692,2,Exceeded my expectations. Fantastic!,2025-11-03
11,21379,user-e8bdf8,5,"A bit smaller than I expected, but still good.",2025-11-13
12,21379,user-46e011,2,"A bit smaller than I expected, but still good.",2025-01-25
13,53759,user-8ee6ca,1,"Great product, exactly as described.",2025-02-05
14,1855,user-85c054,5,Stunning! Looks even better in person.,2025-08-19
15,1855,user-104373,3,"Great product, exactly as described.",2025-12-13
16,30805,user-3da0d4,4,Good value for the price.,2025-06-29
17,26960,user-67b6c5,5,"Arrived with a small defect, but customer service was great.",2025-04-06
18,26960,user-df340c,4,Good value for the price.,2025-12-17
19,29114,user-19b67b,1,Fast shipping and excellent packaging.,2025-05-25
20,29114,user-24945f,4,Good value for the price.,2025-08-25
21,30039,user-4cfdeb,3,"Arrived with a small defect, but customer service was great.",2025-03-24
22,30039,user-6d51a5,4,Exceeded my expectations. Fantastic!,2025-02-25
23,30039,user-68ceb3,5,Exceeded my expectations. Fantastic!,2025-10-12
24,9204,user-2cb892,3,Color was slightly different from the picture.,2025-07-04
25,9204,user-f6a561,2,Very comfortable and well-made.,2025-10-20
26,48123,user-65a64a,2,Very comfortable and well-made.,2025-03-06
27,18653,user-883a38,4,"Great product, exactly as described.",2025-10-05
28,47957,user-21220b,2,Good value for the price.,2025-08-23
29,46885,user-0171ba,3,Very comfortable and well-made.,2025-11-09
30,46885,user-db8af7,5,"A bit smaller than I expected, but still good.",2025-05-06
31,46885,user-29b2e7,4,"Arrived with a small defect, but customer service was great.",2025-08-27
32,12369,user-427588,2,Very comfortable and well-made.,2025-11-30
33,29928,user-290fff,5,Color was slightly different from the picture.,2025-12-06
34,42419,user-f8a65a,1,Color was slightly different from the picture.,2025-11-30
35,51832,user-18485d,2,"A bit smaller than I expected, but still good.",2025-04-03
36,47359,user-3924a3,5,Good value for the price.,2025-04-22
37,17429,user-72322f,5,"Arrived with a small defect, but customer service was great.",2025-10-15
38,12967,user-a63b0b,1,Perfect fit. I've received so many compliments!,2025-02-21
39,12967,user-2a6a92,3,Fast shipping and excellent packaging.,2026-01-14
40,12967,user-ccf77b,3,Fast shipping and excellent packaging.,2025-03-25
41,6842,user-37ce95,1,"A bit smaller than I expected, but still good.",2025-05-17
42,13089,user-59449b,2,Absolutely love this! The quality is amazing.,2025-05-28
43,13089,user-1f1694,1,"A bit smaller than I expected, but still good.",2025-12-14
44,13089,user-57f557,2,It's fine. Does what it's supposed to do.,2025-11-26
45,18461,user-77b460,3,Highly recommend! Will buy again.,2025-09-25
46,9036,user-e4dda8,5,Fast shipping and excellent packaging.,2025-02-01
47,48311,user-c28e65,2,Highly recommend! Will buy again.,2025-02-24
48,48311,user-7c72d6,3,"Great product, exactly as described.",2025-06-30
49,7990,user-002868,1,Good value for the price.,2025-12-11
50,7990,user-49d1a4,3,Very comfortable and well-made.,2025-04-03
51,7990,user-294db4,2,Fast shipping and excellent packaging.,2025-02-14
52,56019,user-6b2b1f,1,"Great product, exactly as described.",2026-01-03
53,56019,user-189bcb,3,Very comfortable and well-made.,2025-10-14
54,56019,user-155d92,3,Fast shipping and excellent packaging.,2025-02-04
55,21977,user-b337a6,4,Fast shipping and excellent packaging.,2025-07-03
56,21977,user-40a132,1,An okay purchase. Nothing special.,2025-01-26
57,21977,user-abda49,4,The material feels a bit cheap.,2025-10-08
58,37812,user-82f3ec,5,An okay purchase. Nothing special.,2025-10-16
59,4729,user-1677c9,1,Fast shipping and excellent packaging.,2025-10-06
60,4729,user-6e58a2,1,Stunning! Looks even better in person.,2025-07-07
61,56825,user-b1ea1f,3,An okay purchase. Nothing special.,2026-01-01
62,56825,user-778886,5,Color was slightly different from the picture.,2025-03-11
63,39988,user-33bf27,3,Good value for the price.,2025-07-27
64,59051,user-a4f1c2,4,Absolutely love this! The quality is amazing.,2025-04-17
65,20099,user-7f8b81,3,Stunning! Looks even better in person.,2025-08-25
66,58183,user-81860d,5,It's fine. Does what it's supposed to do.,2025-02-06
67,58183,user-f6cf28,5,It's fine. Does what it's supposed to do.,2025-07-21
68,29742,user-f80ec0,5,Very comfortable and well-made.,2025-08-26
69,29742,user-80b11e,3,Highly recommend! Will buy again.,2025-06-03
70,29742,user-641a89,2,Color was slightly different from the picture.,2025-11-22
71,51658,user-6912d1,4,Perfect fit. I've received so many compliments!,2025-05-19
72,51658,user-215090,5,Perfect fit. I've received so many compliments!,2025-05-06
73,3954,user-253b55,3,Perfect fit. I've received so many compliments!,2025-08-31
74,3954,user-a9357b,4,Exceeded my expectations. Fantastic!,2025-12-22
75,18839,user-9aa2de,1,Perfect fit. I've received so many compliments!,2025-04-04
76,2886,user-22f0e4,3,Stunning! Looks even better in person.,2025-12-21
77,23278,user-5e9d0e,2,Stunning! Looks even better in person.,2025-02-19
78,23278,user-4da4fc,5,Absolutely love this! The quality is amazing.,2025-02-09
79,28690,user-45abde,1,Very comfortable and well-made.,2025-08-10
80,28690,user-f0f00e,2,Stunning! Looks even better in person.,2025-03-20
81,8580,user-4e6f54,3,Fast shipping and excellent packaging.,2025-06-09
82,8580,user-85749d,2,An okay purchase. Nothing special.,2025-04-13
83,3168,user-b1ac30,1,Good value for the price.,2025-07-14
84,18005,user-309390,5,"Great product, exactly as described.",2025-12-11
85,17871,user-cadf6c,2,"A bit smaller than I expected, but still good.",2025-09-02
86,17871,user-0bfb3f,3,Very comfortable and well-made.,2025-04-21
87,17871,user-e04bd7,4,An okay purchase. Nothing special.,2025-06-05
88,9452,user-e25e9a,4,Absolutely love this! The quality is amazing.,2025-02-15
89,38402,user-645837,5,Very comfortable and well-made.,2025-07-22
90,38402,user-ec1851,3,Exceeded my expectations. Fantastic!,2025-07-14
91,44984,user-ece4ed,1,"Arrived with a small defect, but customer service was great.",2025-05-20
92,44984,user-547136,1,Good value for the price.,2025-03-31
93,44984,user-75f8aa,5,The material feels a bit cheap.,2025-05-16
94,10268,user-ebf39e,5,The material feels a bit cheap.,2025-11-03
95,10268,user-f1f7ac,3,Good value for the price.,2025-09-05
96,45856,user-c1db75,4,It's fine. Does what it's supposed to do.,2025-10-29
97,45856,user-2c054c,5,The material feels a bit cheap.,2025-09-26
98,32138,user-70d2c8,4,Fast shipping and excellent packaging.,2025-02-15
99,32138,user-c260d4,5,An okay purchase. Nothing special.,2025-01-29
100,59435,user-948acc,3,Good value for the price.,2025-10-06
101,59435,user-8f7596,3,Highly recommend! Will buy again.,2025-11-11
102,59435,user-0e4c5c,2,Fast shipping and excellent packaging.,2025-10-19
103,5891,user-e0ed61,2,An okay purchase. Nothing special.,2025-02-26
104,5891,user-e005dd,4,Very comfortable and well-made.,2025-04-12
105,38630,user-3dabe1,5,Perfect fit. I've received so many compliments!,2025-08-28
106,38630,user-e8fc2e,2,Very comfortable and well-made.,2025-02-18
107,4943,user-33ec52,2,Exceeded my expectations. Fantastic!,2025-11-10
108,4943,user-409ead,5,Absolutely love this! The quality is amazing.,2025-07-07
109,4943,user-e830ca,1,"Great product, exactly as described.",2025-10-02
110,11188,user-b4d7a9,2,"Arrived with a small defect, but customer service was great.",2025-06-05
111,11188,user-696c87,4,"Great product, exactly as described.",2026-01-03
112,10866,user-35dbcb,2,"Arrived with a small defect, but customer service was great.",2026-01-07
113,59607,user-24fd37,3,An okay purchase. Nothing special.,2025-02-09
114,59607,user-b2d47e,1,"Arrived with a small defect, but customer service was great.",2025-12-11
115,59607,user-76d24b,2,Absolutely love this! The quality is amazing.,2025-04-10
116,15528,user-0d9469,4,The material feels a bit cheap.,2025-09-28
117,45258,user-c2a5ae,4,An okay purchase. Nothing special.,2025-03-08
118,45258,user-842aa4,5,Very comfortable and well-made.,2025-05-30
119,42841,user-0b0949,3,Exceeded my expectations. Fantastic!,2025-11-07
120,42841,user-f60da6,2,"Great product, exactly as described.",2026-01-14
121,22198,user-84e540,2,"Great product, exactly as described.",2025-02-21
122,22198,user-6dfc27,3,The material feels a bit cheap.,2025-07-07
123,22198,user-fd849e,5,Fast shipping and excellent packaging.,2025-03-23
124,29570,user-d44562,1,"A bit smaller than I expected, but still good.",2025-02-13
125,43993,user-e44d2a,2,An okay purchase. Nothing special.,2025-10-13
126,6628,user-060b50,5,Stunning! Looks even better in person.,2025-05-13
127,6628,user-d70c85,5,Good value for the price.,2025-10-25
128,54924,user-c3e213,1,Absolutely love this! The quality is amazing.,2025-09-08
129,26538,user-5534b3,3,The material feels a bit cheap.,2026-01-14
130,35913,user-a526a3,2,"Arrived with a small defect, but customer service was great.",2026-01-18
131,35913,user-652362,5,"A bit smaller than I expected, but still good.",2025-06-13
132,35913,user-f41ab4,5,Absolutely love this! The quality is amazing.,2025-07-03
133,49495,user-14beba,3,Perfect fit. I've received so many compliments!,2025-03-18
134,49495,user-4b5990,1,"Arrived with a small defect, but customer service was great.",2025-02-05
135,9660,user-07053f,3,"Great product, exactly as described.",2025-08-27
136,2288,user-3351d4,3,The material feels a bit cheap.,2025-08-27
137,2288,user-b70e8b,3,Color was slightly different from the picture.,2025-02-03
138,2288,user-6577fb,1,Color was slightly different from the picture.,2025-10-06
139,23876,user-9b4d01,1,An okay purchase. Nothing special.,2025-07-07
140,23876,user-205dee,2,An okay purchase. Nothing special.,2025-01-27
141,18237,user-9e7761,3,"Great product, exactly as described.",2025-11-05
142,54118,user-3b7aaa,3,Highly recommend! Will buy again.,2025-06-15
143,54118,user-1ae5d5,2,Color was slightly different from the picture.,2026-01-05
144,54118,user-1b6351,2,"Arrived with a small defect, but customer service was great.",2025-09-29
145,2872,user-7323f1,2,Absolutely love this! The quality is amazing.,2025-02-14
146,2872,user-4780be,5,Perfect fit. I've received so many compliments!,2025-10-05
147,2872,user-acf1ba,5,"Arrived with a small defect, but customer service was great.",2025-10-16
148,49653,user-78b643,3,Exceeded my expectations. Fantastic!,2025-07-27
149,49653,user-4d7027,4,Good value for the price.,2025-10-01
150,49653,user-9e331d,1,"A bit smaller than I expected, but still good.",2025-10-19
151,8574,user-0e5442,4,Good value for the price.,2025-05-03
152,8574,user-184341,4,Fast shipping and excellent packaging.,2025-02-01
153,8574,user-e376d0,1,"Great product, exactly as described.",2025-04-17
154,16957,user-17ac1f,1,Exceeded my expectations. Fantastic!,2025-07-23
155,16957,user-ec4ee1,3,The material feels a bit cheap.,2025-05-14
156,16957,user-0c6e0c,1,Good value for the price.,2025-12-03
157,19123,user-b21eda,3,Exceeded my expectations. Fantastic!,2025-02-12
158,13419,user-274274,2,Very comfortable and well-made.,2025-04-24
159,13419,user-8f064b,2,"Great product, exactly as described.",2025-07-29
160,13419,user-9eced9,1,Absolutely love this! The quality is amazing.,2025-09-03
161,17885,user-07fbff,4,Color was slightly different from the picture.,2025-05-18
162,43369,user-1296e4,3,Perfect fit. I've received so many compliments!,2025-02-12
163,43369,user-0b0fcd,5,"A bit smaller than I expected, but still good.",2025-02-14
164,48781,user-953981,4,Fast shipping and excellent packaging.,2025-06-11
165,48781,user-d1704a,2,Very comfortable and well-made.,2025-12-09
166,48781,user-4ead75,5,Perfect fit. I've received so many compliments!,2025-01-30
167,44970,user-075327,1,Exceeded my expectations. Fantastic!,2025-06-14
168,56489,user-735d9d,5,"A bit smaller than I expected, but still good.",2025-04-10
169,56489,user-a774c0,2,"A bit smaller than I expected, but still good.",2025-07-07
170,56489,user-ecde6e,4,Highly recommend! Will buy again.,2025-04-15
171,39524,user-d9458c,4,Very comfortable and well-made.,2025-06-22
172,39524,user-4b7de9,1,"A bit smaller than I expected, but still good.",2025-06-15
173,33822,user-5831ce,1,The material feels a bit cheap.,2025-08-01
174,58513,user-cd0710,5,Stunning! Looks even better in person.,2025-06-30
175,58513,user-a3e710,1,Exceeded my expectations. Fantastic!,2025-12-27
176,25947,user-c1ad85,4,The material feels a bit cheap.,2025-06-21
177,25947,user-f3b2f2,1,The material feels a bit cheap.,2026-01-21
178,52029,user-be821d,2,Fast shipping and excellent packaging.,2026-01-01
179,52029,user-9bee14,4,The material feels a bit cheap.,2025-05-21
180,5865,user-bd2ff1,2,"A bit smaller than I expected, but still good.",2025-05-06
181,5865,user-0bf63d,1,The material feels a bit cheap.,2025-10-03
182,5865,user-1d4526,5,An okay purchase. Nothing special.,2025-08-16
183,39716,user-dcd26d,3,It's fine. Does what it's supposed to do.,2025-08-19
184,39716,user-9a3893,3,Color was slightly different from the picture.,2025-03-06
185,25349,user-a011f8,4,Absolutely love this! The quality is amazing.,2025-11-16
186,11940,user-5addb2,5,The material feels a bit cheap.,2025-02-05
187,11940,user-d56ce3,4,Highly recommend! Will buy again.,2025-06-11
188,55802,user-0e8a14,3,Good value for the price.,2025-02-01
189,55802,user-069f1a,3,Exceeded my expectations. Fantastic!,2025-05-06
190,55802,user-32ae57,5,Highly recommend! Will buy again.,2025-06-20
191,29584,user-a4059d,4,Very comfortable and well-made.,2025-11-29
192,43967,user-f7f589,1,"A bit smaller than I expected, but still good.",2025-11-22
193,43967,user-d16ce0,4,Fast shipping and excellent packaging.,2025-05-01
194,28456,user-3fac13,3,Absolutely love this! The quality is amazing.,2025-10-19
195,34009,user-6fe9a9,5,Highly recommend! Will buy again.,2025-05-11
196,34009,user-798dac,5,"A bit smaller than I expected, but still good.",2025-09-06
197,34009,user-f40e49,5,Stunning! Looks even better in person.,2025-04-25
198,19311,user-5d02d7,4,Absolutely love this! The quality is amazing.,2025-11-24
199,42089,user-93b88b,1,Stunning! Looks even better in person.,2025-06-29
200,42089,user-b10e54,5,It's fine. Does what it's supposed to do.,2025-05-26
201,22950,user-40a9b8,4,"A bit smaller than I expected, but still good.",2025-11-11
202,22950,user-c3e19f,2,Color was slightly different from the picture.,2025-12-04
203,49461,user-fe62e2,5,"Great product, exactly as described.",2025-01-27
204,8746,user-6f4046,4,Stunning! Looks even better in person.,2025-07-27
205,9694,user-b2b01a,2,Fast shipping and excellent packaging.,2025-05-03
206,23882,user-da153d,5,An okay purchase. Nothing special.,2025-05-18
207,34835,user-01f73d,1,"Arrived with a small defect, but customer service was great.",2025-09-13
208,15984,user-9b1f74,4,Stunning! Looks even better in person.,2025-10-18
209,15984,user-3e48aa,2,Perfect fit. I've received so many compliments!,2025-04-11
210,41268,user-b71861,4,Color was slightly different from the picture.,2025-06-18
